2024-08-21 00:03:03 ожидание close
2024-08-21 00:03:04 ожидание close
2024-08-21 00:03:05 ожидание close
2024-08-21 00:03:06 ожидание close
2024-08-21 00:03:07 ожидание close
2024-08-21 00:03:08 ожидание close
2024-08-21 00:03:09 ожидание close
2024-08-21 00:03:10 ожидание close
2024-08-21 00:03:10 ожидание close
2024-08-21 00:03:11 ожидание close
2024-08-21 00:03:12 ожидание close
2024-08-21 00:03:13 ожидание close
2024-08-21 00:03:14 ожидание close
2024-08-21 00:03:15 ожидание close
2024-08-21 00:03:16 ожидание close
2024-08-21 00:03:17 ожидание close
2024-08-21 00:03:17 ожидание close
2024-08-21 00:03:18 ожидание close
2024-08-21 00:03:19 ожидание close
2024-08-21 00:03:20 ожидание close
2024-08-21 00:03:21 ожидание close
2024-08-21 00:03:22 ожидание close
2024-08-21 00:03:22 ожидание close
2024-08-21 00:03:23 ожидание close
2024-08-21 00:03:24 ожидание close
2024-08-21 00:03:25 ожидание close
2024-08-21 00:03:26 ожидание close
2024-08-21 00:03:27 ожидание close
2024-08-21 00:03:28 ожидание close
2024-08-21 00:03:29 ожидание close
2024-08-21 00:03:30 ожидание close
2024-08-21 00:03:31 ожидание close
2024-08-21 00:03:32 ожидание close
2024-08-21 00:03:33 ожидание close
2024-08-21 00:03:34 ожидание close
2024-08-21 00:03:35 ожидание close
2024-08-21 00:03:36 ожидание close
2024-08-21 00:03:37 ожидание close
2024-08-21 00:03:38 ожидание close
2024-08-21 00:03:39 ожидание close
2024-08-21 00:03:40 ожидание close
2024-08-21 00:03:41 ожидание close
2024-08-21 00:03:42 ожидание close
2024-08-21 00:03:44 закрыть результат боя
2024-08-21 00:03:44 move_to_click
2024-08-21 00:03:46 arena.battle_in_arena
2024-08-21 00:03:46 quantity_battles = 127
2024-08-21 00:03:47 go_in_hall_glory
2024-08-21 00:03:49 link_in_hall_glory = None
2024-08-21 00:03:49 hall_glory = Point(x=768, y=111)
2024-08-21 00:03:49 close = None
2024-08-21 00:03:49 hall_glory = Point(x=768, y=111)
2024-08-21 00:03:49 move_to_click
2024-08-21 00:03:59 link_in_hall_glory = , Point(x=424, y=158)
2024-08-21 00:03:59 hero_arena = , None
2024-08-21 00:03:59 поиск противника
2024-08-21 00:04:00 move_to_click
2024-08-21 00:04:04 move_to_click
2024-08-21 00:04:07 move_to_click
2024-08-21 00:04:11 move_to_click
2024-08-21 00:04:14 move_to_click
2024-08-21 00:04:18 move_to_click
2024-08-21 00:04:21 move_to_click
2024-08-21 00:04:24 move_to_click
2024-08-21 00:04:28 move_to_click
2024-08-21 00:04:32 move_to_click
2024-08-21 00:04:36 move_to_click
2024-08-21 00:04:39 move_to_click
2024-08-21 00:04:43 move_to_click
2024-08-21 00:04:46 move_to_click
2024-08-21 00:04:50 move_to_click
2024-08-21 00:04:53 move_to_click
2024-08-21 00:04:56 move_to_click
2024-08-21 00:04:59  it = 17
2024-08-21 00:05:00 attack = Point(x=683, y=301)
2024-08-21 00:05:00 move_to_click
2024-08-21 00:05:02 link_arena = None
2024-08-21 00:05:05 link_arena = Point(x=428, y=166)
2024-08-21 00:05:06 безоружен
2024-08-21 00:05:07 ожидание боя
2024-08-21 00:05:41 in_battl = Point(x=312, y=588)
2024-08-21 00:05:41 move_to_click
2024-08-21 00:05:43 ожидание пропустить бой
2024-08-21 00:05:48 in_battle
2024-08-21 00:05:49 skip_battle = Point(x=426, y=111)
2024-08-21 00:05:49 пропускаем бой
2024-08-21 00:05:49 move_to_click
2024-08-21 00:05:51 ожидание close
2024-08-21 00:05:52 ожидание close
2024-08-21 00:05:53 ожидание close
2024-08-21 00:05:54 ожидание close
2024-08-21 00:05:55 ожидание close
2024-08-21 00:05:56 ожидание close
2024-08-21 00:05:57 ожидание close
2024-08-21 00:05:58 ожидание close
2024-08-21 00:05:58 ожидание close
2024-08-21 00:05:59 ожидание close
2024-08-21 00:06:00 ожидание close
2024-08-21 00:06:01 ожидание close
2024-08-21 00:06:02 ожидание close
2024-08-21 00:06:03 ожидание close
2024-08-21 00:06:03 ожидание close
2024-08-21 00:06:04 ожидание close
2024-08-21 00:06:05 ожидание close
2024-08-21 00:06:06 ожидание close
2024-08-21 00:06:07 ожидание close
2024-08-21 00:06:08 ожидание close
2024-08-21 00:06:09 ожидание close
2024-08-21 00:06:10 ожидание close
2024-08-21 00:06:11 ожидание close
2024-08-21 00:06:12 ожидание close
2024-08-21 00:06:13 ожидание close
2024-08-21 00:06:14 ожидание close
2024-08-21 00:06:15 ожидание close
2024-08-21 00:06:15 ожидание close
2024-08-21 00:06:16 ожидание close
2024-08-21 00:06:17 ожидание close
2024-08-21 00:06:19 ожидание close
2024-08-21 00:06:19 ожидание close
2024-08-21 00:06:20 ожидание close
2024-08-21 00:06:21 ожидание close
2024-08-21 00:06:22 ожидание close
2024-08-21 00:06:23 ожидание close
2024-08-21 00:06:24 ожидание close
2024-08-21 00:06:25 ожидание close
2024-08-21 00:06:26 ожидание close
2024-08-21 00:06:27 ожидание close
2024-08-21 00:06:28 ожидание close
2024-08-21 00:06:28 ожидание close
2024-08-21 00:06:29 ожидание close
2024-08-21 00:06:30 ожидание close
2024-08-21 00:06:31 ожидание close
2024-08-21 00:06:32 ожидание close
2024-08-21 00:06:33 ожидание close
2024-08-21 00:06:34 ожидание close
2024-08-21 00:06:35 ожидание close
2024-08-21 00:06:36 ожидание close
2024-08-21 00:06:37 ожидание close
2024-08-21 00:06:38 ожидание close
2024-08-21 00:06:39 ожидание close
2024-08-21 00:06:39 ожидание close
2024-08-21 00:06:40 ожидание close
2024-08-21 00:06:41 ожидание close
2024-08-21 00:06:42 ожидание close
2024-08-21 00:06:43 ожидание close
2024-08-21 00:06:44 ожидание close
2024-08-21 00:06:45 ожидание close
2024-08-21 00:06:46 ожидание close
2024-08-21 00:06:47 ожидание close
2024-08-21 00:06:48 ожидание close
2024-08-21 00:06:48 ожидание close
2024-08-21 00:06:49 ожидание close
2024-08-21 00:06:50 ожидание close
2024-08-21 00:06:51 ожидание close
2024-08-21 00:06:52 ожидание close
2024-08-21 00:06:53 ожидание close
2024-08-21 00:06:54 ожидание close
2024-08-21 00:06:55 ожидание close
2024-08-21 00:06:55 ожидание close
2024-08-21 00:06:56 ожидание close
2024-08-21 00:06:57 ожидание close
2024-08-21 00:06:58 ожидание close
2024-08-21 00:06:59 ожидание close
2024-08-21 00:07:00 ожидание close
2024-08-21 00:07:01 ожидание close
2024-08-21 00:07:01 ожидание close
2024-08-21 00:07:02 ожидание close
2024-08-21 00:07:03 ожидание close
2024-08-21 00:07:04 ожидание close
2024-08-21 00:07:05 ожидание close
2024-08-21 00:07:06 ожидание close
2024-08-21 00:07:07 ожидание close
2024-08-21 00:07:08 ожидание close
2024-08-21 00:07:08 ожидание close
2024-08-21 00:07:09 ожидание close
2024-08-21 00:07:10 ожидание close
2024-08-21 00:07:11 ожидание close
2024-08-21 00:07:12 ожидание close
2024-08-21 00:07:13 ожидание close
2024-08-21 00:07:14 ожидание close
2024-08-21 00:07:15 ожидание close
2024-08-21 00:07:15 ожидание close
2024-08-21 00:07:16 ожидание close
2024-08-21 00:07:17 ожидание close
2024-08-21 00:07:18 ожидание close
2024-08-21 00:07:19 ожидание close
2024-08-21 00:07:20 ожидание close
2024-08-21 00:07:21 ожидание close
2024-08-21 00:07:22 ожидание close
2024-08-21 00:07:23 ожидание close
2024-08-21 00:07:23 ожидание close
2024-08-21 00:07:24 ожидание close
2024-08-21 00:07:25 ожидание close
2024-08-21 00:07:26 ожидание close
2024-08-21 00:07:27 ожидание close
2024-08-21 00:07:28 ожидание close
2024-08-21 00:07:29 ожидание close
2024-08-21 00:07:30 ожидание close
2024-08-21 00:07:31 ожидание close
2024-08-21 00:07:32 ожидание close
2024-08-21 00:07:33 ожидание close
2024-08-21 00:07:33 ожидание close
2024-08-21 00:07:34 ожидание close
2024-08-21 00:07:35 ожидание close
2024-08-21 00:07:36 ожидание close
2024-08-21 00:07:37 ожидание close
2024-08-21 00:07:38 ожидание close
2024-08-21 00:07:39 ожидание close
2024-08-21 00:07:40 ожидание close
2024-08-21 00:07:41 ожидание close
2024-08-21 00:07:41 ожидание close
2024-08-21 00:07:42 ожидание close
2024-08-21 00:07:43 ожидание close
2024-08-21 00:07:44 ожидание close
2024-08-21 00:07:45 ожидание close
2024-08-21 00:07:46 ожидание close
2024-08-21 00:07:47 ожидание close
2024-08-21 00:07:48 ожидание close
2024-08-21 00:07:48 ожидание close
2024-08-21 00:07:49 ожидание close
2024-08-21 00:07:50 ожидание close
2024-08-21 00:07:51 ожидание close
2024-08-21 00:07:52 ожидание close
2024-08-21 00:07:53 ожидание close
2024-08-21 00:07:54 ожидание close
2024-08-21 00:07:55 ожидание close
2024-08-21 00:07:56 ожидание close
2024-08-21 00:07:57 ожидание close
2024-08-21 00:07:57 ожидание close
2024-08-21 00:07:58 ожидание close
2024-08-21 00:07:59 ожидание close
2024-08-21 00:08:00 ожидание close
2024-08-21 00:08:01 ожидание close
2024-08-21 00:08:02 ожидание close
2024-08-21 00:08:03 ожидание close
2024-08-21 00:08:04 ожидание close
2024-08-21 00:08:05 ожидание close
2024-08-21 00:08:06 ожидание close
2024-08-21 00:08:06 ожидание close
2024-08-21 00:08:07 ожидание close
2024-08-21 00:08:08 ожидание close
2024-08-21 00:08:09 ожидание close
2024-08-21 00:08:10 ожидание close
2024-08-21 00:08:11 ожидание close
2024-08-21 00:08:12 ожидание close
2024-08-21 00:08:12 ожидание close
2024-08-21 00:08:13 ожидание close
2024-08-21 00:08:14 ожидание close
2024-08-21 00:08:15 ожидание close
2024-08-21 00:08:16 ожидание close
2024-08-21 00:08:17 ожидание close
2024-08-21 00:08:18 ожидание close
2024-08-21 00:08:18 ожидание close
2024-08-21 00:08:19 ожидание close
2024-08-21 00:08:20 ожидание close
2024-08-21 00:08:21 ожидание close
2024-08-21 00:08:22 ожидание close
2024-08-21 00:08:23 ожидание close
2024-08-21 00:08:24 ожидание close
2024-08-21 00:08:25 ожидание close
2024-08-21 00:08:26 ожидание close
2024-08-21 00:08:26 ожидание close
2024-08-21 00:08:27 ожидание close
2024-08-21 00:08:28 ожидание close
2024-08-21 00:08:29 ожидание close
2024-08-21 00:08:30 ожидание close
2024-08-21 00:08:31 ожидание close
2024-08-21 00:08:32 ожидание close
2024-08-21 00:08:32 ожидание close
2024-08-21 00:08:33 ожидание close
2024-08-21 00:08:34 ожидание close
2024-08-21 00:08:35 ожидание close
2024-08-21 00:08:36 ожидание close
2024-08-21 00:08:37 ожидание close
2024-08-21 00:08:38 ожидание close
2024-08-21 00:08:39 ожидание close
2024-08-21 00:08:40 ожидание close
2024-08-21 00:08:41 ожидание close
2024-08-21 00:08:42 ожидание close
2024-08-21 00:08:43 ожидание close
2024-08-21 00:08:44 ожидание close
2024-08-21 00:08:46 закрыть результат боя
2024-08-21 00:08:46 move_to_click
2024-08-21 00:08:48 arena.battle_in_arena
2024-08-21 00:08:48 quantity_battles = 128
2024-08-21 00:08:49 go_in_hall_glory
2024-08-21 00:08:51 link_in_hall_glory = None
2024-08-21 00:08:51 hall_glory = Point(x=768, y=111)
2024-08-21 00:08:51 close = None
2024-08-21 00:08:51 hall_glory = Point(x=768, y=111)
2024-08-21 00:08:51 move_to_click
2024-08-21 00:09:04 link_in_hall_glory = , Point(x=424, y=158)
2024-08-21 00:09:04 hero_arena = , None
2024-08-21 00:09:04 поиск противника
2024-08-21 00:09:04 move_to_click
2024-08-21 00:09:08 move_to_click
2024-08-21 00:09:12 move_to_click
2024-08-21 00:09:17 move_to_click
2024-08-21 00:09:21 move_to_click
2024-08-21 00:09:26 move_to_click
2024-08-21 00:09:29 move_to_click
2024-08-21 00:09:33 move_to_click
2024-08-21 00:09:37 move_to_click
2024-08-21 00:09:40 move_to_click
2024-08-21 00:09:44 move_to_click
2024-08-21 00:09:48 move_to_click
2024-08-21 00:09:51 move_to_click
2024-08-21 00:09:55 move_to_click
2024-08-21 00:10:00 move_to_click
2024-08-21 00:10:04 move_to_click
2024-08-21 00:10:07 move_to_click
2024-08-21 00:10:10  it = 17
2024-08-21 00:10:11 attack = Point(x=683, y=301)
2024-08-21 00:10:11 move_to_click
2024-08-21 00:10:13 link_arena = None
2024-08-21 00:10:18 link_arena = Point(x=428, y=166)
2024-08-21 00:10:19 безоружен
2024-08-21 00:10:20 ожидание боя
