2024-07-01 06:26:12 
2024-07-01 06:26:12 *******                      *******
2024-07-01 06:26:12 ******* перезапуск программы *******
2024-07-01 06:26:12 *******                      *******
2024-07-01 06:26:12 
2024-07-01 06:29:43 move_to_click
2024-07-01 06:29:48 move_to_click
2024-07-01 06:29:53 move_to_click
2024-07-01 06:30:00 move_to_click
2024-07-01 06:30:06 move_to_click
2024-07-01 06:30:10 move_to_click
2024-07-01 06:30:14 move_to_click
2024-07-01 06:30:18 move_to_click
2024-07-01 06:30:25 move_to_click
2024-07-01 06:30:32 move_to_click
2024-07-01 06:30:36 move_to_click
2024-07-01 06:30:39 move_to_click
2024-07-01 06:30:44 move_to_click
2024-07-01 06:30:51 move_to_click
2024-07-01 06:30:56 move_to_click
2024-07-01 06:31:00 move_to_click
2024-07-01 06:31:04 move_to_click
2024-07-01 06:31:09 move_to_click
2024-07-01 06:31:15 move_to_click
2024-07-01 06:31:21 move_to_click
2024-07-01 06:31:25 move_to_click
2024-07-01 06:31:29 move_to_click
2024-07-01 06:31:33 move_to_click
2024-07-01 06:31:40 move_to_click
2024-07-01 06:31:47 move_to_click
2024-07-01 06:31:50 move_to_click
2024-07-01 06:31:54 move_to_click
2024-07-01 06:31:59 move_to_click
2024-07-01 06:32:05 move_to_click
2024-07-01 06:32:11 move_to_click
2024-07-01 06:32:15 move_to_click
2024-07-01 06:32:19 move_to_click
2024-07-01 06:32:23 move_to_click
2024-07-01 06:32:30 move_to_click
2024-07-01 06:32:36 move_to_click
2024-07-01 06:32:40 move_to_click
2024-07-01 06:32:44 move_to_click
2024-07-01 06:32:48 move_to_click
2024-07-01 06:32:55 move_to_click
2024-07-01 06:33:01 move_to_click
2024-07-01 06:33:05 move_to_click
2024-07-01 06:33:09 move_to_click
2024-07-01 06:33:13 move_to_click
2024-07-01 06:33:20 move_to_click
2024-07-01 06:33:26 move_to_click
2024-07-01 06:33:30 move_to_click
2024-07-01 06:33:33 move_to_click
2024-07-01 06:33:38 move_to_click
2024-07-01 06:33:55 move_to_click
2024-07-01 06:33:59 move_to_click
2024-07-01 06:34:04 move_to_click
2024-07-01 06:34:10 move_to_click
2024-07-01 06:34:17 move_to_click
2024-07-01 06:34:21 move_to_click
2024-07-01 06:34:25 move_to_click
2024-07-01 06:34:26 move_to_click
2024-07-01 06:42:01 move_to_click
2024-07-01 06:42:06 move_to_click
2024-07-01 06:42:11 move_to_click
2024-07-01 06:42:18 move_to_click
2024-07-01 06:42:24 move_to_click
2024-07-01 06:42:28 move_to_click
2024-07-01 06:42:32 move_to_click
2024-07-01 06:42:37 move_to_click
2024-07-01 06:42:43 move_to_click
2024-07-01 06:42:48 move_to_click
2024-07-01 06:42:52 move_to_click
