2024-07-25 08:36:07 
2024-07-25 08:36:07 *******                      *******
2024-07-25 08:36:07 ******* перезапуск программы *******
2024-07-25 08:36:07 *******                      *******
2024-07-25 08:36:07 
2024-07-25 08:37:48 move_to_click
2024-07-25 08:37:53 move_to_click
2024-07-25 08:37:58 move_to_click
2024-07-25 08:38:04 move_to_click
2024-07-25 08:38:11 move_to_click
2024-07-25 08:38:15 move_to_click
2024-07-25 08:38:19 move_to_click
2024-07-25 08:38:23 move_to_click
2024-07-25 08:38:30 move_to_click
2024-07-25 08:38:36 move_to_click
2024-07-25 08:38:40 move_to_click
2024-07-25 08:38:44 move_to_click
2024-07-25 08:38:49 move_to_click
2024-07-25 08:38:55 move_to_click
2024-07-25 08:39:01 move_to_click
2024-07-25 08:39:05 move_to_click
2024-07-25 08:39:09 move_to_click
2024-07-25 08:39:13 move_to_click
2024-07-25 08:39:20 move_to_click
2024-07-25 08:39:25 move_to_click
2024-07-25 08:39:29 move_to_click
2024-07-25 08:39:33 move_to_click
2024-07-25 08:39:38 move_to_click
2024-07-25 08:39:44 move_to_click
2024-07-25 08:39:51 move_to_click
2024-07-25 08:39:55 move_to_click
2024-07-25 08:39:58 move_to_click
2024-07-25 08:40:03 move_to_click
2024-07-25 08:40:09 move_to_click
2024-07-25 08:40:16 move_to_click
2024-07-25 08:40:20 move_to_click
2024-07-25 08:40:23 move_to_click
2024-07-25 08:40:28 move_to_click
2024-07-25 08:40:35 move_to_click
2024-07-25 08:40:41 move_to_click
2024-07-25 08:40:45 move_to_click
2024-07-25 08:40:49 move_to_click
2024-07-25 08:40:54 move_to_click
2024-07-25 08:41:00 move_to_click
2024-07-25 08:41:06 move_to_click
2024-07-25 08:41:10 move_to_click
2024-07-25 08:41:14 move_to_click
2024-07-25 08:41:19 move_to_click
2024-07-25 08:41:25 move_to_click
2024-07-25 08:41:32 move_to_click
2024-07-25 08:41:36 move_to_click
2024-07-25 08:41:39 move_to_click
2024-07-25 08:41:44 move_to_click
2024-07-25 08:42:01 move_to_click
2024-07-25 08:42:05 move_to_click
2024-07-25 08:42:10 move_to_click
2024-07-25 08:42:16 move_to_click
2024-07-25 08:42:22 move_to_click
2024-07-25 08:42:26 move_to_click
2024-07-25 08:42:30 move_to_click
2024-07-25 08:42:32 move_to_click
2024-07-25 08:44:10 move_to_click
2024-07-25 08:44:15 move_to_click
2024-07-25 08:44:20 move_to_click
2024-07-25 08:44:26 move_to_click
2024-07-25 08:44:33 move_to_click
2024-07-25 08:44:37 move_to_click
2024-07-25 08:44:41 move_to_click
2024-07-25 08:44:46 move_to_click
2024-07-25 08:44:52 move_to_click
2024-07-25 08:44:58 move_to_click
2024-07-25 08:45:02 move_to_click
2024-07-25 08:45:06 move_to_click
2024-07-25 08:45:11 move_to_click
2024-07-25 08:45:17 move_to_click
2024-07-25 08:45:24 move_to_click
2024-07-25 08:45:28 move_to_click
2024-07-25 08:45:31 move_to_click
2024-07-25 08:45:36 move_to_click
2024-07-25 08:45:43 move_to_click
2024-07-25 08:45:49 move_to_click
2024-07-25 08:45:53 move_to_click
2024-07-25 08:45:56 move_to_click
2024-07-25 08:46:01 move_to_click
2024-07-25 08:46:08 move_to_click
2024-07-25 08:46:13 move_to_click
2024-07-25 08:46:17 move_to_click
2024-07-25 08:46:21 move_to_click
2024-07-25 08:46:26 move_to_click
2024-07-25 08:46:32 move_to_click
2024-07-25 08:46:39 move_to_click
2024-07-25 08:46:43 move_to_click
2024-07-25 08:46:46 move_to_click
2024-07-25 08:46:51 move_to_click
2024-07-25 08:46:58 move_to_click
2024-07-25 08:47:04 move_to_click
2024-07-25 08:47:08 move_to_click
2024-07-25 08:47:12 move_to_click
2024-07-25 08:47:17 move_to_click
2024-07-25 08:47:23 move_to_click
2024-07-25 08:47:29 move_to_click
2024-07-25 08:47:33 move_to_click
2024-07-25 08:47:36 move_to_click
2024-07-25 08:47:41 move_to_click
2024-07-25 08:47:48 move_to_click
2024-07-25 08:47:54 move_to_click
2024-07-25 08:47:58 move_to_click
2024-07-25 08:48:02 move_to_click
2024-07-25 08:48:07 move_to_click
2024-07-25 08:48:13 move_to_click
2024-07-25 08:48:19 move_to_click
2024-07-25 08:48:23 move_to_click
2024-07-25 08:48:27 move_to_click
2024-07-25 08:48:29 move_to_click
2024-07-25 08:51:10 move_to_click
2024-07-25 08:51:15 move_to_click
2024-07-25 08:51:21 move_to_click
2024-07-25 08:51:27 move_to_click
2024-07-25 08:51:33 move_to_click
2024-07-25 08:51:37 move_to_click
2024-07-25 08:51:41 move_to_click
2024-07-25 08:51:46 move_to_click
2024-07-25 08:51:53 move_to_click
2024-07-25 08:51:59 move_to_click
2024-07-25 08:52:03 move_to_click
2024-07-25 08:52:07 move_to_click
2024-07-25 08:52:12 move_to_click
2024-07-25 08:52:18 move_to_click
2024-07-25 08:52:24 move_to_click
2024-07-25 08:52:28 move_to_click
2024-07-25 08:52:32 move_to_click
2024-07-25 08:52:37 move_to_click
2024-07-25 08:52:43 move_to_click
2024-07-25 08:52:49 move_to_click
2024-07-25 08:52:53 move_to_click
2024-07-25 08:52:57 move_to_click
2024-07-25 08:53:02 move_to_click
2024-07-25 08:53:08 move_to_click
2024-07-25 08:53:14 move_to_click
2024-07-25 08:53:18 move_to_click
2024-07-25 08:53:22 move_to_click
2024-07-25 08:53:27 move_to_click
2024-07-25 08:53:33 move_to_click
2024-07-25 08:53:39 move_to_click
2024-07-25 08:53:43 move_to_click
2024-07-25 08:53:47 move_to_click
2024-07-25 08:53:52 move_to_click
2024-07-25 08:54:09 move_to_click
2024-07-25 08:54:12 move_to_click
2024-07-25 08:54:17 move_to_click
2024-07-25 08:54:24 move_to_click
2024-07-25 08:54:30 move_to_click
2024-07-25 08:54:34 move_to_click
2024-07-25 08:54:38 move_to_click
2024-07-25 08:54:43 move_to_click
2024-07-25 08:54:49 move_to_click
2024-07-25 08:54:54 move_to_click
2024-07-25 08:54:58 move_to_click
2024-07-25 08:55:02 move_to_click
2024-07-25 08:55:07 move_to_click
2024-07-25 08:55:13 move_to_click
2024-07-25 08:55:20 move_to_click
2024-07-25 08:55:24 move_to_click
2024-07-25 08:55:28 move_to_click
2024-07-25 08:55:32 move_to_click
2024-07-25 08:55:39 move_to_click
2024-07-25 08:55:44 move_to_click
2024-07-25 08:55:48 move_to_click
2024-07-25 08:55:52 move_to_click
2024-07-25 08:55:54 move_to_click
2024-07-25 09:02:01 move_to_click
2024-07-25 09:02:06 move_to_click
2024-07-25 09:02:11 move_to_click
2024-07-25 09:02:17 move_to_click
2024-07-25 09:02:24 move_to_click
2024-07-25 09:02:28 move_to_click
2024-07-25 09:02:32 move_to_click
2024-07-25 09:02:36 move_to_click
2024-07-25 09:02:43 move_to_click
2024-07-25 09:02:49 move_to_click
2024-07-25 09:02:53 move_to_click
2024-07-25 09:02:56 move_to_click
2024-07-25 09:03:01 move_to_click
2024-07-25 09:03:07 move_to_click
2024-07-25 09:03:13 move_to_click
2024-07-25 09:03:17 move_to_click
2024-07-25 09:03:21 move_to_click
2024-07-25 09:03:25 move_to_click
2024-07-25 09:03:32 move_to_click
2024-07-25 09:03:38 move_to_click
2024-07-25 09:03:42 move_to_click
2024-07-25 09:03:46 move_to_click
2024-07-25 09:03:51 move_to_click
2024-07-25 09:03:57 move_to_click
2024-07-25 09:04:02 move_to_click
2024-07-25 09:04:06 move_to_click
2024-07-25 09:04:10 move_to_click
2024-07-25 09:04:15 move_to_click
2024-07-25 09:04:21 move_to_click
2024-07-25 09:04:27 move_to_click
2024-07-25 09:04:31 move_to_click
2024-07-25 09:04:35 move_to_click
